code,description
274.9,"Gout, unspecified"
V49.86,Do not resuscitate status
V58.67,Long-term (current) use of insulin
327.23,Obstructive sleep apnea (adult)(pediatric)
428.32,Chronic diastolic heart failure
428.0,"Congestive heart failure, unspecified"
585.6,End stage renal disease
300.00,"Anxiety state, unspecified"
584.9,"Acute kidney failure, unspecified"
V45.82,Percutaneous transluminal coronary angioplasty status
401.9,Unspecified essential hypertension
403.90,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
427.31,Atrial fibrillation
285.1,Acute posthemorrhagic anemia
412,Old myocardial infarction
96.6,Enteral infusion of concentrated nutritional substances
38.97,Central venous catheter placement with guidance
530.81,Esophageal reflux
427.89,Other specified cardiac dysrhythmias
585.9,"Chronic kidney disease, unspecified"
272.0,Pure hypercholesterolemia
338.29,Other chronic pain
V15.82,Personal history of tobacco use
285.9,"Anemia, unspecified"
V58.61,Long-term (current) use of anticoagulants
V45.81,Aortocoronary bypass status
V12.54,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
599.0,"Urinary tract infection, site not specified"
278.00,"Obesity, unspecified"
414.00,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
486,"Pneumonia, organism unspecified"
244.9,Unspecified acquired hypothyroidism
305.1,Tobacco use disorder
V12.51,Personal history of venous thrombosis and embolism
564.00,"Constipation, unspecified"
272.4,Other and unspecified hyperlipidemia
250.00,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
287.5,"Thrombocytopenia, unspecified"
493.90,"Asthma, unspecified type, unspecified"
311,"Depressive disorder, not elsewhere classified"
276.51,Dehydration
357.2,Polyneuropathy in diabetes
414.01,Coronary atherosclerosis of native coronary artery
V58.66,Long-term (current) use of aspirin
38.93,"Venous catheterization, not elsewhere classified"
276.1,Hyposmolality and/or hyponatremia
276.2,Acidosis
600.00,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
496,"Chronic airway obstruction, not elsewhere classified"
733.00,"Osteoporosis, unspecified"
